cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Manejo Fitosanitario del Maíz,"Gusano elotero (Helicoverpa zea) y Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Michoacán,Maíz,Tercer Trimestre,Control Biológico,2209.0,207.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Michoacán,Maíz,Tercer Trimestre,Control Químico,990.0,59.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea) y Plagas rizófagas (Phyllophaga spp.)",Morelos,Maíz,Tercer Trimestre,Control Biológico,2634.0,759.0
Manejo Fitosanitario del Maíz,Gusano elotero (Helicoverpa zea),Nayarit,Maíz,Tercer Trimestre,Control Biológico,900.0,104.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Nayarit,Maíz,Tercer Trimestre,Control Químico,550.0,68.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Gusano elotero (Helicoverpa zea) y Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Nuevo León,Maíz,Tercer Trimestre,Control Biológico,995.0,290.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Nuevo León,Maíz,Tercer Trimestre,Control Químico,67.5,23.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Oaxaca,Maíz,Tercer Trimestre,Control Biológico,4907.25,2132.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.) y Secadera de raíz (Fusarium sp.)",Puebla,Maíz,Tercer Trimestre,Control Biológico,1175.0,412.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Puebla,Maíz,Tercer Trimestre,Control Etológico,139.5,51.0
Manejo Fitosanitario del Maíz,"Gusano cogollero (Spodoptera frugiperda), Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.), Plagas rizófagas (Phyllophaga spp.), Secadera de raíz (Fusarium sp.) y Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Querétaro,Maíz,Tercer Trimestre,Control Biológico,1136.0,258.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Quintana Roo,Maíz,Tercer Trimestre,Control Biológico,1736.0,145.0
